Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,6.996000,7.344000,6.996000,7.344000,7.296054,4500
2015-06-25,7.708000,7.708000,7.708000,7.708000,7.657678,500
2015-06-26,8.092000,8.092000,8.092000,8.092000,8.039170,1000
2015-06-29,8.496000,8.496000,8.496000,8.496000,8.440534,3750
2015-06-30,8.920000,8.920000,8.920000,8.920000,8.861765,2000
2015-07-01,9.360000,9.360000,9.360000,9.360000,9.298892,2500
2015-07-02,9.820000,9.820000,9.820000,9.820000,9.755889,1750
2015-07-03,10.300000,10.300000,10.300000,10.300000,10.232757,500
2015-07-06,10.800000,10.800000,10.800000,10.800000,10.729491,500
2015-07-07,11.340000,11.340000,11.340000,11.340000,11.265966,500
2015-07-08,11.900000,11.900000,11.900000,11.900000,11.822309,500
2015-07-09,12.480000,12.480000,12.480000,12.480000,12.398522,500
2015-07-10,13.100000,13.100000,13.100000,13.100000,13.014476,1250
2015-07-13,13.740000,13.740000,13.740000,13.740000,13.650297,6000
2015-07-14,14.420000,14.420000,14.420000,14.420000,14.325857,1250
2015-07-15,15.140000,15.140000,15.140000,15.140000,15.041158,1000
2015-07-16,15.880000,15.880000,15.880000,15.880000,15.776327,250
2015-07-17,16.180000,16.180000,16.180000,16.180000,16.074368,250
2015-07-20,16.500000,16.500000,16.500000,16.500000,16.392279,500
2015-07-21,16.820000,16.820000,16.820000,16.820000,16.710192,125
2015-07-22,16.980000,17.139999,16.500000,16.820000,16.710192,21420
2015-07-23,17.000000,17.139999,16.820000,17.139999,17.028099,1030
2015-07-24,17.480000,17.480000,17.480000,17.480000,17.365879,245
2015-07-27,17.820000,17.820000,17.820000,17.820000,17.703659,250
2015-07-28,18.160000,18.160000,18.160000,18.160000,18.041439,250
2015-07-29,18.500000,18.520000,17.799999,17.799999,17.683790,5650
2015-07-30,17.459999,18.139999,17.459999,18.139999,18.021570,9600
2015-07-31,18.500000,18.500000,17.780001,18.480000,18.359350,2077
2015-08-03,18.500000,18.840000,18.500000,18.799999,18.677261,1987
2015-08-04,19.160000,19.160000,19.160000,19.160000,19.034912,250
2015-08-05,19.540001,19.540001,19.540001,19.540001,19.412432,675
2015-08-06,19.920000,19.920000,19.920000,19.920000,19.789949,705
2015-08-07,20.299999,20.299999,20.299999,20.299999,20.167469,1845
2015-08-10,20.700001,20.700001,19.900000,20.700001,20.564859,507
2015-08-11,20.299999,20.299999,20.299999,20.299999,20.167469,25
2015-08-12,20.299999,20.299999,20.299999,20.299999,20.167469,0
2015-08-13,20.299999,20.299999,20.299999,20.299999,20.167469,0
2015-08-14,20.299999,20.700001,20.299999,20.440001,20.306557,1062
2015-08-17,20.440001,20.440001,20.440001,20.440001,20.306557,0
2015-08-18,20.440001,20.440001,20.440001,20.440001,20.306557,0
2015-08-19,20.400000,20.840000,20.400000,20.840000,20.703943,187
2015-08-20,21.240000,21.240000,21.240000,21.240000,21.101332,967
2015-08-21,21.240000,21.240000,21.240000,21.240000,21.101332,0
2015-08-24,20.820000,21.660000,20.820000,20.820000,20.684074,912
2015-08-25,21.219999,21.219999,20.799999,21.200001,21.061594,1787
2015-08-26,21.200001,21.200001,21.200001,21.200001,21.061594,137
2015-08-27,21.620001,21.620001,21.620001,21.620001,21.478853,275
2015-08-28,21.620001,21.620001,21.620001,21.620001,21.478853,0
2015-08-31,21.559999,21.559999,21.200001,21.200001,21.061594,465
